p cnf 50 400
-37 -42 8 0 
-30 18 -46 0 
-36 -8 -31 0 
10 8 -20 0 
46 13 32 0 
-40 -49 50 0 
15 28 11 0 
-10 -25 48 0 
-46 6 -12 0 
-8 -8 34 0 
1 5 31 0 
14 30 34 0 
-8 30 21 0 
-40 -45 13 0 
38 -31 14 0 
-44 21 41 0 
-30 -40 -28 0 
6 -16 37 0 
-26 -21 -17 0 
-33 37 -37 0 
-47 33 47 0 
47 -43 -31 0 
-37 28 7 0 
-8 -37 -46 0 
48 -38 48 0 
20 25 -20 0 
33 6 29 0 
-33 1 44 0 
-8 -37 -25 0 
33 29 -33 0 
-36 17 45 0 
-41 -17 -37 0 
-17 3 48 0 
-2 -40 -32 0 
21 -21 18 0 
-31 -44 12 0 
-42 42 -7 0 
-44 -46 20 0 
-37 39 38 0 
25 -17 -40 0 
-40 7 43 0 
2 -7 25 0 
16 28 8 0 
32 -44 10 0 
-24 33 47 0 
-2 50 28 0 
6 -12 -43 0 
32 -5 16 0 
-17 11 -42 0 
7 32 -28 0 
16 33 -28 0 
1 20 33 0 
20 23 3 0 
18 40 5 0 
31 17 15 0 
-50 -41 15 0 
31 -29 -50 0 
47 -22 -40 0 
-21 -2 -25 0 
-7 1 30 0 
-39 30 -24 0 
-26 -19 -49 0 
-40 -28 40 0 
32 -2 13 0 
-48 3 -34 0 
-18 16 -33 0 
36 44 16 0 
-38 28 32 0 
-13 -36 -28 0 
43 -39 -1 0 
26 40 15 0 
-27 -10 -42 0 
-46 -34 -37 0 
-4 -10 -27 0 
-45 9 25 0 
-47 39 -44 0 
25 -48 10 0 
-50 25 48 0 
-10 -30 25 0 
9 -6 -13 0 
21 14 38 0 
12 20 15 0 
39 -49 28 0 
-10 -7 -35 0 
25 45 -38 0 
32 -4 -39 0 
